Summary,,,,,,,,,,,,,,,,,,,,,,,,
Bin Size,15 minutes,,,,,,,,,,,,,,,,,,,,,,,
Time Zone,America/Toronto,,,,,,,,,,,,,,,,,,,,,,,
Start Time,1/1/2020 0:00,,,,,,,,,,,,,,,,,,,,,,,
End Time,2/29/2020 23:59,,,,,,,,,,,,,,,,,,,,,,,
Location,Totten Street and Huron Church Road,,,,,,,,,,,,,,,,,,,,,,,
Latitude and Longitude,"42.28574518,-83.05701204",,,,,,,,,,,,,,,,,,,,,,,
Lights,,,,,,,,,,,,,,,,,,,,,,,,
Entry,North,,,,,,East,,,,,,South,,,,,,West,,,,,
Direction,Southbound,,,,,,Westbound,,,,,,Northbound,,,,,,Eastbound,,,,,
Start Time,Right,Thru,Left,U-Turn,Peds CW,Peds CCW,Right,Thru,Left,U-Turn,Peds CW,Peds CCW,Right,Thru,Left,U-Turn,Peds CW,Peds CCW,Right,Thru,Left,U-Turn,Peds CW,Peds CCW
1/1/2020 0:00,2,38,2,0,0,0,0,2,2,0,0,0,4,28,4,0,0,0,10,3,1,0,0,0
1/1/2020 0:15,0,62,5,0,0,0,2,7,9,0,0,0,3,43,11,0,0,0,8,3,2,0,0,0
1/1/2020 0:30,0,78,6,0,0,0,7,9,0,0,0,0,4,73,10,0,0,0,10,2,3,0,0,0
1/1/2020 0:45,1,80,1,0,0,0,5,3,5,0,0,0,9,88,8,0,0,0,10,4,0,0,0,0
1/1/2020 1:00,0,95,4,0,0,0,5,2,7,0,0,0,15,95,11,0,0,0,3,5,0,0,0,0
1/1/2020 1:15,0,89,1,0,0,0,4,3,8,0,0,0,3,68,7,0,0,0,5,2,1,0,0,0
1/1/2020 1:30,2,60,0,0,0,0,5,2,4,0,0,0,9,67,5,0,0,0,7,4,0,0,0,0
1/1/2020 1:45,2,66,2,0,0,0,3,2,4,0,0,0,4,56,5,0,0,0,6,0,3,0,0,0
1/1/2020 2:00,0,69,2,0,0,0,5,2,4,0,0,0,5,51,5,0,0,0,5,0,1,0,0,0
1/1/2020 2:15,0,69,3,0,0,0,1,6,6,0,0,0,2,44,2,0,0,0,4,1,0,0,0,0
1/1/2020 2:30,0,61,0,0,0,0,1,1,2,0,0,0,3,56,3,0,0,0,3,2,0,0,0,0
1/1/2020 2:45,2,60,6,0,0,0,2,2,4,0,0,0,3,54,3,0,0,0,1,1,2,0,0,0
1/1/2020 3:00,0,49,3,0,0,0,2,3,4,0,0,0,5,39,1,0,0,0,1,1,0,0,0,0
1/1/2020 3:15,0,45,1,0,0,0,5,0,2,0,0,0,1,41,3,0,0,0,3,1,1,0,0,0
1/1/2020 3:30,0,28,6,0,0,0,0,0,4,0,0,0,1,32,1,0,0,0,1,0,0,0,0,0
1/1/2020 3:45,0,40,0,0,0,0,2,0,2,0,0,0,1,37,0,0,0,0,4,0,0,0,0,0
1/1/2020 4:00,0,31,2,0,0,0,1,1,2,0,0,0,1,37,2,0,0,0,4,0,1,0,0,0
1/1/2020 4:15,0,29,2,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,1,0,0,0,0,0
1/1/2020 4:30,0,21,3,0,0,0,1,1,3,0,0,0,4,24,1,0,0,0,2,0,0,0,0,0
1/1/2020 4:45,0,19,0,0,0,0,1,1,1,0,0,0,3,16,2,0,0,0,1,0,0,0,0,0
1/1/2020 5:00,1,17,2,0,0,0,2,2,1,0,0,0,1,24,1,0,0,0,0,0,1,0,0,0
1/1/2020 5:15,0,16,1,0,0,0,0,0,1,0,0,0,1,17,1,0,0,0,0,0,0,0,0,0
1/1/2020 5:30,0,16,0,0,0,0,2,0,1,0,0,0,1,20,1,0,0,0,4,0,0,0,0,0
1/1/2020 5:45,0,21,0,0,0,0,0,1,0,0,0,0,0,25,1,0,0,0,1,0,0,0,0,0
1/1/2020 6:00,2,10,0,0,0,0,1,0,2,0,0,0,1,38,2,0,0,0,2,1,2,0,0,0
1/1/2020 6:15,0,14,0,0,0,0,1,0,0,0,0,0,0,44,3,0,0,0,2,0,0,0,0,0
1/1/2020 6:30,1,19,1,0,0,0,2,2,1,0,0,0,1,39,13,0,0,0,7,1,0,0,0,0
1/1/2020 6:45,0,22,2,0,0,0,3,1,0,0,0,0,1,26,13,0,0,0,1,0,1,0,0,0
1/1/2020 7:00,0,21,1,0,0,0,0,2,2,0,0,0,0,34,3,0,0,0,17,0,1,0,0,0
1/1/2020 7:15,1,19,0,0,0,0,3,2,2,0,0,0,4,37,2,0,0,0,5,0,1,0,0,0
1/1/2020 7:30,0,21,2,0,0,0,6,0,5,0,0,0,3,29,3,0,0,0,2,1,0,0,0,0
1/1/2020 7:45,2,27,3,0,0,0,1,3,3,0,0,0,1,42,7,0,0,0,9,1,2,0,0,0
1/1/2020 8:00,1,23,3,0,0,0,0,3,6,0,0,0,0,37,0,0,0,0,7,1,1,0,0,0
1/1/2020 8:15,0,31,1,0,0,0,3,3,2,0,0,0,4,45,2,0,0,0,4,0,0,0,0,0
1/1/2020 8:30,0,34,1,0,0,0,4,1,3,0,0,0,3,44,4,0,0,0,4,1,0,0,0,0
1/1/2020 8:45,0,38,0,0,0,0,0,2,2,0,0,0,1,59,4,0,0,0,5,0,1,0,0,0
1/1/2020 9:00,1,34,0,0,0,0,2,1,4,0,0,0,4,55,2,0,0,0,4,2,1,0,0,0
1/1/2020 9:15,0,33,0,0,0,0,1,2,2,0,0,0,9,81,5,0,0,0,5,2,1,0,0,0
1/1/2020 9:30,2,35,1,0,0,0,3,4,6,0,0,0,3,65,4,0,0,0,9,1,3,0,0,0
1/1/2020 9:45,0,42,2,0,0,0,5,4,3,0,0,0,9,83,4,0,0,0,7,3,0,0,0,0
1/1/2020 10:00,0,56,1,0,0,0,1,2,7,0,0,0,6,82,5,0,0,0,4,2,1,0,0,0
1/1/2020 10:15,1,39,5,0,0,0,9,3,8,0,0,0,8,106,4,0,0,0,9,4,3,0,0,0
1/1/2020 10:30,1,69,2,0,0,0,5,3,4,0,0,0,13,106,6,0,0,0,6,2,2,0,0,0
1/1/2020 10:45,1,71,5,0,0,0,11,7,7,0,0,0,18,126,6,0,0,0,7,5,0,0,0,0
1/1/2020 11:00,4,85,4,0,0,0,9,3,8,0,0,0,14,168,9,0,0,0,8,3,2,0,0,0
1/1/2020 11:15,1,74,3,0,0,0,4,7,6,0,0,0,4,145,7,0,0,0,10,5,1,0,0,0
1/1/2020 11:30,0,86,4,0,0,0,5,6,11,0,0,0,11,129,13,0,0,0,10,10,2,0,0,0
1/1/2020 11:45,0,87,8,0,0,0,6,6,12,0,0,0,10,132,10,0,0,0,15,4,1,0,0,0
1/1/2020 12:00,0,109,4,0,0,0,7,4,14,0,0,0,8,114,11,0,0,0,11,5,1,0,0,0
1/1/2020 12:15,1,111,11,0,0,0,6,4,16,0,0,0,6,125,7,0,0,0,11,4,3,0,0,0
1/1/2020 12:30,1,99,7,0,0,0,9,4,12,0,0,0,8,135,17,0,0,0,11,8,3,0,0,0
1/1/2020 12:45,0,121,5,0,0,0,6,6,11,0,0,0,7,121,14,0,0,0,14,11,0,0,0,0
1/1/2020 13:00,4,123,11,0,0,0,12,5,9,0,0,0,7,128,9,0,0,0,8,7,0,0,0,0
1/1/2020 13:15,0,127,10,0,0,0,8,9,17,0,0,0,11,117,20,0,0,0,9,3,2,0,0,0
1/1/2020 13:30,4,133,4,0,0,0,10,8,11,0,0,0,13,144,9,0,0,0,15,4,0,0,0,0
1/1/2020 13:45,2,120,4,0,0,0,10,6,6,0,0,0,8,114,10,0,0,0,14,2,3,0,0,0
1/1/2020 14:00,1,97,2,0,0,0,9,9,12,0,0,0,18,153,16,0,0,0,13,5,4,0,0,0
1/1/2020 14:15,4,123,7,0,0,0,10,4,6,0,0,0,12,135,18,0,0,0,17,13,1,0,0,0
1/1/2020 14:30,2,126,7,0,0,0,8,7,19,0,0,0,10,118,16,0,0,0,12,6,4,0,0,0
1/1/2020 14:45,0,133,13,0,0,0,10,14,9,0,0,0,12,98,24,0,0,0,12,8,3,0,0,0
1/1/2020 15:00,1,104,10,0,0,0,10,6,17,0,0,0,14,109,11,0,0,0,31,5,1,0,0,0
1/1/2020 15:15,0,140,10,0,0,0,3,5,15,0,0,0,12,101,13,0,0,0,18,11,3,0,0,0
1/1/2020 15:30,4,117,11,0,0,0,13,9,18,0,0,0,12,120,13,0,0,0,12,9,3,0,0,0
1/1/2020 15:45,1,139,6,0,0,0,12,9,12,0,0,0,7,131,9,0,0,0,20,8,2,0,0,0
1/1/2020 16:00,0,131,8,0,0,0,6,15,16,0,0,0,12,126,16,0,0,0,11,11,5,0,0,0
1/1/2020 16:15,3,160,7,0,0,0,10,7,11,0,0,0,14,136,11,0,0,0,17,9,0,0,0,0
1/1/2020 16:30,1,112,6,0,0,0,11,10,11,0,0,0,9,114,17,0,0,0,11,9,1,0,0,0
1/1/2020 16:45,3,115,7,0,0,0,7,9,9,0,0,0,10,143,19,0,0,0,15,6,4,0,0,0
1/1/2020 17:00,4,126,4,0,0,0,8,7,23,0,0,0,7,140,14,0,0,0,16,18,3,0,0,0
1/1/2020 17:15,0,136,8,0,0,0,4,8,11,0,0,0,11,142,18,0,0,0,15,4,3,0,0,0
1/1/2020 17:30,2,121,10,0,0,0,7,10,12,0,0,0,11,143,14,0,0,0,15,7,1,0,0,0
1/1/2020 17:45,3,110,7,0,0,0,7,6,16,0,0,0,11,135,13,0,0,0,20,6,2,0,0,0
1/1/2020 18:00,1,105,12,0,0,0,7,10,9,0,0,0,4,127,9,0,0,0,13,6,1,0,0,0
1/1/2020 18:15,0,114,5,0,0,0,4,12,11,0,0,0,9,150,13,0,0,0,12,2,4,0,0,0
1/1/2020 18:30,1,104,5,0,0,0,8,5,16,0,0,0,15,114,6,0,0,0,14,7,2,0,0,0
1/1/2020 18:45,0,111,5,0,0,0,7,11,6,0,0,0,3,92,13,0,0,0,12,9,4,0,0,0
1/1/2020 19:00,1,118,8,0,0,0,11,3,11,0,0,0,12,112,14,0,0,0,14,6,2,0,0,0
1/1/2020 19:15,3,105,7,0,0,0,7,10,11,0,0,0,9,113,9,0,0,0,10,10,3,0,0,0
1/1/2020 19:30,2,82,9,0,0,0,5,5,4,0,0,0,9,87,11,0,0,0,13,6,3,0,0,0
