Intersection Name,Intersection ID,dt_bin,Direction,Movement Type,Vehicle Classification,Number of Vehicles
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 00:00:00,NB,THRU,Car,132
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 00:00:00,NB,LT,Car,36
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 00:00:00,WB,THRU,Car,72
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 00:00:00,WB,RT,Car,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 00:15:00,NB,THRU,Car,276
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 00:15:00,NB,LT,Car,72
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 00:15:00,WB,THRU,Car,132
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 00:30:00,NB,THRU,Car,216
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 00:30:00,NB,LT,Car,36
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 00:30:00,WB,THRU,Car,108
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 00:30:00,WB,RT,Car,24
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 00:45:00,NB,THRU,Car,264
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 00:45:00,NB,LT,Car,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 00:45:00,WB,THRU,Car,84
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 00:45:00,WB,RT,Car,24
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 01:00:00,NB,THRU,Car,192
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 01:00:00,NB,LT,Car,60
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 01:00:00,NB,THRU,Bus,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 01:00:00,WB,THRU,Car,72
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 01:00:00,WB,RT,Car,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 01:15:00,NB,LT,Car,48
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 01:15:00,NB,THRU,Car,156
